x1,x2,x3
0.4,-0.2,25.2
6.1035156250222045e-6,-0.2,6.949830063641208
6.1035156250222045e-6,1.2207031249988898e-5,3.695340922149626e-8
3.6621093750022204e-5,1.2207031249988898e-5,2.956272489029743e-7
3.6621093750022204e-5,-3.0517578125111022e-6,2.679121919868521e-7
